ADM_CD,구,행정동명,법정동추정명,지도기준일자,기준연월,세대수,총인구,19세이상인구,65세이상인구,생산가능인구_19_64세,세대당_총인구,생산가능인구비율_19_64세,65세이상인구비율,법정동명,건축유형,매매_거래건수,매매가_평당_중앙값,매매가_평당_평균,매매가_총액_중앙값,매매_전용면적_중앙값,매매_거래건수_주의,전세_거래건수,전세보증금_평당_중앙값,전세보증금_평당_평균,전세보증금_총액_중앙값,전세_전용면적_중앙값,전세_거래건수_주의,월세_거래건수,월세보증금_평당_중앙값,월세_평당_중앙값,월세보증금_총액_중앙값,월세_총액_중앙값,월세_전용면적_중앙값,월세_거래건수_주의,가격매핑방식
31021650,수정구,고등동,고등동,20250630,2026-03,5280,11670,9876,1821,8055,2.210227272727273,0.6902313624678663,0.15604113110539847,고등동,단독_다가구,,,,,,,68.0,2093.8956373723363,1985.8303509646314,30000.0,49.8,False,143.0,613.6625208836086,7.020174134635803,10000.0,100.0,45.7,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021650,수정구,고등동,고등동,20250630,2026-03,5280,11670,9876,1821,8055,2.210227272727273,0.6902313624678663,0.15604113110539847,고등동,아파트,241.0,4777.55055851302,4789.9477155460045,122000.0,84.9826,False,150.0,2722.8335561119793,2763.519092437531,67000.0,84.9872,False,378.0,796.2278801209789,2.259318278134849,7884.0,16.0,36.37,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021650,수정구,고등동,고등동,20250630,2026-03,5280,11670,9876,1821,8055,2.210227272727273,0.6902313624678663,0.15604113110539847,고등동,연립_다세대,,,,,,,,,,,,,5.0,638.8580463808854,2.787744202389318,11000.0,48.0,71.3,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021650,수정구,고등동,고등동,20250630,2026-03,5280,11670,9876,1821,8055,2.210227272727273,0.6902313624678663,0.15604113110539847,고등동,오피스텔,4.0,3678.5792280493515,3337.698981355432,66750.0,59.9739,True,36.0,2450.7578253706756,2477.38462537159,50000.0,59.99,False,30.0,389.0091786302659,9.336220287126382,10000.0,197.5,84.97,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021660,수정구,시흥동,시흥동,20250630,2026-03,2180,3592,3342,749,2593,1.6477064220183486,0.7218819599109132,0.20851893095768373,시흥동,단독_다가구,2.0,2312.340250962615,2312.340250962615,512285.0,732.38,True,14.0,1096.909432541399,1240.12136774512,30000.0,81.82,False,15.0,91.82777777777777,5.371925,1000.0,65.0,46.09,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021660,수정구,시흥동,시흥동,20250630,2026-03,2180,3592,3342,749,2593,1.6477064220183486,0.7218819599109132,0.20851893095768373,시흥동,아파트,,,,,,,1.0,1556.1936785474109,1556.1936785474109,21000.0,44.61,True,63.0,783.2389031078611,3.323930530164534,5184.0,22.0,21.88,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021660,수정구,시흥동,시흥동,20250630,2026-03,2180,3592,3342,749,2593,1.6477064220183486,0.7218819599109132,0.20851893095768373,시흥동,연립_다세대,2.0,2455.5738091495045,2455.5738091495045,47250.0,63.61,True,6.0,1485.038795736427,1405.1448865856767,24075.0,61.94,False,2.0,992.8018457138842,2.2877574383389643,19490.0,47.5,66.275,True,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021660,수정구,시흥동,시흥동,20250630,2026-03,2180,3592,3342,749,2593,1.6477064220183486,0.7218819599109132,0.20851893095768373,시흥동,오피스텔,7.0,3582.5255096620103,3796.0068659484677,25500.0,23.5303,False,19.0,3347.6455696202534,3263.959654688343,28000.0,27.41,False,162.0,138.02922755741128,18.212253756260434,1000.0,132.0,23.95,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31022510,중원구,성남동,성남동,20250630,2026-03,18466,31792,29460,7267,22193,1.721650601104733,0.6980686965274283,0.22857951685958733,성남동,단독_다가구,12.0,1278.8949987220485,1254.6260449743852,77650.0,214.12,False,167.0,1050.1097359735975,1084.3121688270119,16000.0,50.48,False,434.0,132.232,4.9587,1000.0,49.5,35.0,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31022510,중원구,성남동,성남동,20250630,2026-03,18466,31792,29460,7267,22193,1.721650601104733,0.6980686965274283,0.22857951685958733,성남동,아파트,93.0,2354.234761588776,2599.415334981594,54500.0,82.63,False,81.0,1635.5225726654298,1687.334572146222,36000.0,80.37,False,87.0,334.44437832093513,2.3865981185736165,5000.0,33.0,45.31,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
