구,법정동명,건축유형,매매_거래건수,매매가_평당_중앙값,매매가_평당_평균,매매가_총액_중앙값,매매_전용면적_중앙값,매매_거래건수_주의,전세_거래건수,전세보증금_평당_중앙값,전세보증금_평당_평균,전세보증금_총액_중앙값,전세_전용면적_중앙값,전세_거래건수_주의,월세_거래건수,월세보증금_평당_중앙값,월세_평당_중앙값,월세보증금_총액_중앙값,월세_총액_중앙값,월세_전용면적_중앙값,월세_거래건수_주의
수정구,신흥동,단독_다가구,250.0,2193.200240878393,2360.5791620016553,75000.0,112.88,False,346.0,812.5136008901281,829.7942338289517,10000.0,38.25,False,471.0,52.40646797717185,3.5844944429384658,500.0,40.0,36.33,False
수정구,신흥동,아파트,752.0,5422.958122165911,5204.810506571615,115000.0,74.96,False,1330.0,2535.291763921307,2518.7150798987955,53000.0,74.92,False,900.0,975.7014749340549,4.780621517379085,11307.0,90.0,59.98,False
수정구,신흥동,연립_다세대,53.0,3048.046135018692,3401.0305383046853,50000.0,49.12,False,82.0,1079.0243709386516,1185.6462267226007,17250.0,55.175,False,18.0,121.1500946397648,4.483756656100448,1250.0,50.0,46.099999999999994,False
수정구,신흥동,오피스텔,61.0,1798.6751243487845,1740.6071426357719,36000.0,65.1836,False,111.0,1754.903782349038,1727.216322680132,33000.0,67.05,False,51.0,251.69788335617483,5.0713565636642555,5000.0,50.0,53.74,False
수정구,심곡동,단독_다가구,4.0,1717.1909691968135,1723.9010979289176,123500.0,237.05,True,20.0,1316.3498676854206,1345.6316216713801,31000.0,79.61500000000001,False,16.0,160.71811573680733,4.09149043038439,4000.0,52.5,75.75999999999999,False
수정구,심곡동,연립_다세대,1.0,1918.019839041737,1918.019839041737,62000.0,106.86,True,2.0,1378.5208502739733,1378.5208502739733,39000.0,91.215,True,1.0,125.62416872506175,6.9093292798783965,2000.0,110.0,52.63,True
수정구,양지동,단독_다가구,2.0,768.0416697894026,768.0416697894026,31000.0,133.43,True,37.0,976.170087110586,929.5071481357968,15000.0,50.82,False,152.0,97.22941176470589,3.896121428571428,1000.0,40.0,37.725,False
수정구,양지동,아파트,14.0,2396.833085605405,2390.4485857166,53250.0,83.64,False,18.0,1634.1846943339376,1505.3990129016524,37750.0,83.675,False,5.0,389.09159388903277,4.90656771799629,10000.0,80.0,83.88,False
수정구,양지동,연립_다세대,55.0,1520.8975694444446,1528.0894690558216,24500.0,57.6,False,54.0,1067.5825141297037,1124.3316213645235,19225.0,51.0,False,32.0,337.94725005111434,3.3794725005111435,5000.0,46.5,47.135000000000005,False
수정구,오야동,단독_다가구,,,,,,,19.0,1225.9920529801325,1293.034149570977,27000.0,70.0,False,21.0,261.24545598229804,3.494964979516321,5000.0,55.0,50.0,False
수정구,오야동,연립_다세대,1.0,1996.8876743851577,1996.8876743851577,84000.0,139.06,True,1.0,1069.7612541349058,1069.7612541349058,45000.0,139.06,True,2.0,107.07622543727057,1.0261471604405097,6000.0,57.5,185.24,True
수정구,창곡동,단독_다가구,2.0,2414.6926931435128,2414.6926931435128,330000.0,452.92,True,208.0,1896.173147346939,1898.4335709566294,30000.0,55.0,False,125.0,480.84363636363634,6.311072727272727,8000.0,100.0,53.28,False
수정구,창곡동,아파트,514.0,5802.221101517514,5989.2379180721155,149500.0,85.4621,False,1288.0,2862.4290767486405,2812.2839049598792,73000.0,85.4621,False,1178.0,634.8662732520846,2.146623376623377,10000.0,30.0,46.99,False
수정구,창곡동,연립_다세대,,,,,,,,,,,,,138.0,1836.331173542745,1.6830122197977064,47104.0,43.0,84.7398,False
수정구,창곡동,오피스텔,89.0,3084.2917726887194,3110.1082262071436,33500.0,35.433,False,218.0,2632.824397824398,2628.0510356213053,33800.0,44.11,False,536.0,315.4389312977099,10.35052986512524,3000.0,85.0,28.36,False
수정구,태평동,단독_다가구,190.0,1320.5447522870274,1427.404829904687,49000.0,120.59,False,911.0,898.1525086035138,883.9549658609114,10000.0,38.54,False,2072.0,71.4304235090752,4.407733333333333,500.0,45.0,37.0,False
수정구,태평동,아파트,107.0,3214.9122550453353,3199.9305504096674,68500.0,59.9729,False,118.0,1981.2435593092787,1990.6575874696694,44350.0,59.9729,False,122.0,212.006746660339,9.285208850352685,1000.0,65.0,18.16,False
수정구,태평동,연립_다세대,142.0,1761.9182055599044,1815.521461860932,27900.0,49.81,False,158.0,1201.7822950307796,1230.8631554460883,20000.0,53.385000000000005,False,118.0,144.86415425065732,4.469022788721515,2000.0,55.0,41.019999999999996,False
수정구,태평동,오피스텔,40.0,1725.6476683222959,1746.189106369879,32500.0,60.55,False,44.0,1680.6465825883315,1634.9008633929536,30000.0,60.19,False,50.0,126.03063696463062,6.294597916086039,1500.0,75.0,42.74,False
