"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"112","경기도 성남시 중원구 중앙동","1**","다가구","8m미만","198.00","69.40","202509","24","85,000","개인","개인","1991","광명로","-","중개거래","경기 성남시 중원구"
"113","경기도 성남시 중원구 성남동","2***","다가구","8m미만","151.84","86.00","202509","24","64,000","개인","개인","1988","광명로134번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"114","경기도 성남시 중원구 은행동","8**","다가구","12m미만","144.77","62.20","202509","23","24,000","개인","개인","1992","은이로43번길","-","직거래","-"
"115","경기도 성남시 중원구 상대원동","4***","단독","8m미만","69.06","61.50","202509","23","70,000","개인","개인","1985","","20251209","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"116","경기도 성남시 중원구 은행동","1***","단독","8m미만","125.19","128.80","202509","20","61,750","개인","개인","1979","은이로8번길","-","중개거래","경기 성남시 중원구"
"117","경기도 성남시 중원구 금광동","3***","단독","8m미만","169.71","99.50","202509","20","50,700","개인","개인","1990","자혜로36번길","-","중개거래","경기 성남시 중원구"
"118","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","114.63","64.50","202509","16","46,000","개인","개인","1989","박석로85번길","-","중개거래","경기 성남시 중원구"
"119","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","114.63","64.50","202509","16","46,000","개인","개인","1989","박석로85번길","20250922","중개거래","경기 성남시 중원구"
"120","경기도 성남시 중원구 중앙동","2**","단독","8m미만","199.20","72.40","202509","14","85,000","개인","개인","1993","광명로","-","중개거래","경기 성남시 중원구"
"121","경기도 성남시 중원구 상대원동","5***","단독","12m미만","95.88","92.60","202509","11","99,500","개인","개인","2000","","-","중개거래","경기 성남시 중원구"
"122","경기도 성남시 중원구 중앙동","4**","단독","25m미만","178.89","72.10","202509","10","103,000","개인","개인","1984","광명로","-","중개거래","경기 성남시 중원구, 서울 광진구"
"123","경기도 성남시 중원구 하대원동","1**","단독","12m미만","169.20","94.00","202509","08","72,500","법인","개인","1988","마지로","20250918","중개거래","경기 성남시 중원구"
"124","경기도 성남시 중원구 하대원동","1**","단독","12m미만","169.20","94.00","202509","08","72,500","법인","개인","1988","마지로","-","중개거래","경기 성남시 중원구"
"125","경기도 성남시 중원구 중앙동","1**","단독","8m미만","19.08","72.10","202509","05","79,000","개인","개인","1973","광명로","-","중개거래","경기 성남시 중원구"
"126","경기도 성남시 중원구 금광동","3***","다가구","8m미만","252.32","105.70","202509","04","78,000","개인","개인","1989","금빛로59번길","-","중개거래","경기 성남시 중원구"
"127","경기도 성남시 중원구 성남동","2***","단독","8m미만","203.35","115.70","202509","03","85,000","개인","개인","1987","원터로93번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"128","경기도 성남시 중원구 상대원동","1***","단독","12m미만","165.36","93.00","202508","29","54,000","개인","개인","1992","둔촌대로413번길","-","중개거래","경기 성남시 중원구"
"129","경기도 성남시 중원구 금광동","2**","다가구","12m미만","202.69","110.30","202508","26","72,000","개인","개인","1993","금상로67번길","-","중개거래","경기 성남시 중원구"
"130","경기도 성남시 중원구 상대원동","2***","단독","8m미만","114.51","64.10","202508","25","47,500","개인","개인","1989","희망로344번길","-","중개거래","경기 성남시 중원구"
"131","경기도 성남시 중원구 상대원동","1***","다가구","12m미만","150.92","104.50","202508","21","59,500","개인","개인","1986","둔촌대로401번길","-","중개거래","경기 성남시 중원구"
"132","경기도 성남시 중원구 금광동","1**","단독","12m미만","420.16","156.20","202508","20","82,000","개인","개인","1991","금상로57번길","-","중개거래","경기 성남시 중원구"
