"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"72","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","23.5800","202601","15","21,800","5","법인","개인","2020","위례서일로 46","-","중개거래","경기 성남시 수정구"
"73","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","45.7700","202601","15","45,000","10","개인","개인","2020","위례서일로 46","-","중개거래","경기 성남시 수정구"
"74","경기도 성남시 수정구 태평동","3520","3520","0000","다온 아트리움","64.4700","202601","14","33,000","6","개인","개인","2021","탄리로 77","-","중개거래","경기 성남시 수정구"
"75","경기도 성남시 수정구 신흥동","2463-4","2463","0004","한신프라자","50.9400","202601","14","16,900","6","법인","개인","1992","산성대로 331","-","중개거래","경기 성남시 수정구"
"76","경기도 성남시 수정구 신흥동","3438","3438","0000","비앤비그라티아","17.7350","202601","13","11,000","5","개인","개인","2019","시민로 168-1","-","직거래","-"
"77","경기도 성남시 수정구 창곡동","562-1","0562","0001","위례KCC웰츠타워","51.4800","202601","10","48,000","9","개인","개인","2018","위례광장로 21-9","-","중개거래","경기 성남시 수정구"
"78","경기도 성남시 수정구 신흥동","2506","2506","0000","The Zen City 오피스텔","75.3500","202601","10","53,000","16","개인","개인","2023","산성대로269번길 6-8","-","중개거래","경기 성남시 중원구"
"79","경기도 성남시 수정구 시흥동","339","0339","0000","판교아이스퀘어","23.5303","202601","09","25,500","6","개인","법인","2021","창업로 17","20260122","중개거래","경기 성남시 수정구"
"80","경기도 성남시 수정구 신흥동","2570","2570","0000","렉스타워2차","66.2153","202601","07","38,000","3","개인","개인","2018","공원로339번길 29","-","중개거래","경기 성남시 수정구"
"81","경기도 성남시 수정구 신흥동","2570","2570","0000","렉스타워2차","66.2153","202601","07","38,000","3","개인","개인","2018","공원로339번길 29","20260331","중개거래","경기 성남시 수정구"
"82","경기도 성남시 수정구 시흥동","339","0339","0000","판교아이스퀘어","23.5303","202512","31","25,500","6","개인","법인","2021","창업로 17","-","중개거래","경기 성남시 수정구"
"83","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","23.5800","202512","31","19,800","12","개인","개인","2020","위례서일로 46","-","중개거래","경기 성남시 수정구"
"84","경기도 성남시 수정구 신흥동","2463-4","2463","0004","한신프라자","31.0500","202512","23","12,800","11","개인","개인","1992","산성대로 331","-","중개거래","경기 성남시 수정구"
"85","경기도 성남시 수정구 태평동","6523","6523","0000","인티움","60.5500","202512","23","32,500","8","개인","개인","2010","성남대로 1244","-","중개거래","경기 성남시 수정구"
"86","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","23.5800","202512","22","22,300","9","개인","개인","2020","위례서일로 46","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"87","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","23.5800","202512","22","22,000","6","개인","개인","2020","위례서일로 46","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"88","경기도 성남시 수정구 태평동","6523","6523","0000","인티움","60.5500","202512","19","33,400","12","개인","개인","2010","성남대로 1244","-","중개거래","경기 성남시 수정구"
"89","경기도 성남시 수정구 시흥동","324","0324","0000","판교 제2테크노밸리 LH 1단지","27.2800","202512","19","21,500","2","개인","개인","2020","창업로40번길 6","-","중개거래","경기 성남시 수정구"
"90","경기도 성남시 수정구 태평동","6523","6523","0000","인티움","62.6500","202512","19","33,500","11","개인","개인","2010","성남대로 1244","-","중개거래","경기 성남시 수정구"
"91","경기도 성남시 수정구 태평동","6523","6523","0000","인티움","42.7400","202512","18","21,000","12","개인","개인","2010","성남대로 1244","-","중개거래","경기 성남시 수정구"
"92","경기도 성남시 수정구 신흥동","3443","3443","0000","네이처빌","84.9000","202512","18","37,500","5","개인","개인","2017","수정남로144번길 4","20260120","중개거래","경기 성남시 수정구"
"93","경기도 성남시 수정구 고등동","608-1","0608","0001","고등동 608-1,2 오피스텔","34.0000","202512","17","23,200","5","개인","법인","2022","청계산로 752","-","중개거래","경기 성남시 수정구"
"94","경기도 성남시 수정구 창곡동","560","0560","0000","남위례역아이파크","22.4400","202512","13","19,900","9","개인","개인","2017"," ","-","중개거래","경기 성남시 수정구"
