"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"103","경기도 성남시 중원구 성남동","3958","3958","0000","Tower hill B동","67.8700","202601","09","42,000","3","개인","개인","2022","둔촌대로 139-1","-","직거래","-"
"104","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","23.5402","202601","07","15,850","5","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
"105","경기도 성남시 중원구 성남동","2201","2201","0000","수진역 코아루 천년가 오피스텔","25.0000","202601","06","16,500","12","개인","개인","2019","광명로 103","-","중개거래","경기 성남시 중원구"
"106","경기도 성남시 중원구 성남동","2759","2759","0000","미래타운","50.2400","202601","06","30,000","7","개인","개인","2019","광명로142번길 3","-","중개거래","경기 성남시 중원구"
"107","경기도 성남시 중원구 은행동","422-5","0422","0005","주건축물제1동","68.1400","202601","06","40,000","4","개인","개인","2021","산성대로 488-3","-","중개거래","경기 성남시 중원구"
"108","경기도 성남시 중원구 여수동","205","0205","0000","신야탑 푸르지오시티Ⅰ","29.0500","202601","05","19,500","8","개인","개인","2013","양현로405번길 5","-","중개거래","경기 성남시 분당구, 경기 성남시 중원구"
"109","경기도 성남시 중원구 금광동","4558","4558","0000","골든클래스","76.1530","202601","04","43,000","2","개인","개인","2019","산성대로414번길 3-10","-","중개거래","경기 성남시 수정구"
"110","경기도 성남시 중원구 금광동","4558","4558","0000","골든클래스","76.1530","202601","04","43,000","2","개인","개인","2019","산성대로414번길 3-10","20260304","중개거래","경기 성남시 수정구"
"111","경기도 성남시 중원구 도촌동","571","0571","0000","도촌파크오피스텔","42.0000","202601","02","15,200","6","개인","개인","2010","도촌로8번길 20","-","중개거래","경기 성남시 중원구"
"112","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","23.5402","202512","30","16,600","8","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
"113","경기도 성남시 중원구 성남동","4163","4163","0000","오라타워","62.7700","202512","27","17,500","9","개인","개인","2006","성남대로1147번길 3","-","중개거래","경기 성남시 중원구"
"114","경기도 성남시 중원구 성남동","2201","2201","0000","수진역 코아루 천년가 오피스텔","25.0000","202512","26","16,900","6","개인","개인","2019","광명로 103","-","중개거래","경기 성남시 중원구"
"115","경기도 성남시 중원구 도촌동","571","0571","0000","도촌파크오피스텔","19.4700","202512","25","7,600","4","개인","개인","2010","도촌로8번길 20","-","중개거래","경기 성남시 중원구"
"116","경기도 성남시 중원구 성남동","4163","4163","0000","오라타워","62.7700","202512","25","18,800","8","개인","개인","2006","성남대로1147번길 3","-","중개거래","경기 성남시 중원구"
"117","경기도 성남시 중원구 성남동","2264","2264","0000","성남 모란 지웰에스테이트","49.9003","202512","25","27,500","14","개인","개인","2020","광명로 67","-","중개거래","전남 순천시"
"118","경기도 성남시 중원구 성남동","3152","3152","0000","렉스타운","71.1300","202512","24","34,000","7","개인","개인","2018","광명로 37","-","중개거래","경기 성남시 중원구"
"119","경기도 성남시 중원구 성남동","2263","2263","0000","현대그린타운","30.0200","202512","23","9,900","11","개인","개인","1999","광명로 71","-","중개거래","경기 성남시 중원구"
"120","경기도 성남시 중원구 성남동","2201","2201","0000","수진역 코아루 천년가 오피스텔","54.1500","202512","22","32,500","12","개인","개인","2019","광명로 103","-","중개거래","경기 성남시 중원구"
