"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"76","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","49.9800","202604","16","53,000","-","13","개인","개인","1994","금상로 134","-","중개거래","경기 성남시 중원구","-"
"77","경기도 성남시 중원구 은행동","550","0550","0000","은행주공","66.5600","202604","16","77,000","-","10","개인","개인","1987","산성대로552번길 15","-","중개거래","경기 성남시 중원구, 서울 송파구","-"
"78","경기도 성남시 중원구 은행동","550","0550","0000","은행주공","64.6200","202604","16","73,500","116","4","개인","개인","1987","산성대로552번길 15","-","중개거래","경기 성남시 중원구","26.04.27"
"79","경기도 성남시 중원구 금광동","1020","1020","0000","e편한세상금빛그랑메종5단지","59.9800","202604","15","100,000","-","25","개인","개인","2023","금광로 72","-","중개거래","경기 성남시 중원구","-"
"80","경기도 성남시 중원구 중앙동","3001","3001","0000","신흥역하늘채랜더스원1단지","59.8800","202604","14","123,000","-","7","개인","개인","2022","광명로 176","-","중개거래","경기 성남시 분당구, 경기 성남시 중원구","-"
"81","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","49.9800","202604","14","49,500","-","5","개인","개인","1994","금상로 134","-","중개거래","경기 성남시 중원구","-"
"82","경기도 성남시 중원구 금광동","1016","1016","0000","e편한세상금빛그랑메종4단지","59.9500","202604","14","110,000","-","14","개인","개인","2023","금광로 71","-","중개거래","경기 성남시 중원구","-"
"83","경기도 성남시 중원구 여수동","600","0600","0000","센트럴타운(3단지)","84.9200","202604","14","134,000","-","11","개인","개인","2012","성남대로 1000","-","중개거래","경기 성남시 분당구, 경기 성남시 중원구","-"
"84","경기도 성남시 중원구 여수동","600","0600","0000","센트럴타운(3단지)","84.9200","202604","13","132,000","-","15","개인","개인","2012","성남대로 1000","-","중개거래","경기 성남시 중원구, 부산 부산진구","-"
"85","경기도 성남시 중원구 여수동","600","0600","0000","센트럴타운(3단지)","74.9500","202604","13","129,000","-","10","개인","개인","2012","성남대로 1000","-","중개거래","경기 성남시 중원구","-"
"86","경기도 성남시 중원구 여수동","601","0601","0000","연꽃마을(4단지)","134.9700","202604","13","153,000","-","8","개인","개인","2012","여수울로 50","-","중개거래","경기 성남시 중원구","-"
"87","경기도 성남시 중원구 여수동","601","0601","0000","연꽃마을(4단지)","120.9700","202604","13","145,000","-","4","개인","개인","2012","여수울로 50","-","중개거래","경기 성남시 중원구","-"
"88","경기도 성남시 중원구 하대원동","111-7","0111","0007","제일","63.3900","202604","13","55,000","가","5","개인","개인","1984","둔촌대로190번길 2","-","중개거래","경기 성남시 중원구","26.04.14"
"89","경기도 성남시 중원구 하대원동","249","0249","0000","아튼빌","59.9100","202604","13","67,000","-","2","개인","개인","2003","둔촌대로 300","-","중개거래","경기 성남시 중원구, 서울 강동구","-"
"90","경기도 성남시 중원구 하대원동","111-7","0111","0007","제일","53.5500","202604","13","40,700","-","5","개인","개인","1984","둔촌대로190번길 2","-","중개거래","경기 성남시 중원구","-"
"91","경기도 성남시 중원구 금광동","2500","2500","0000","래미안금광","59.9000","202604","13","67,000","-","15","개인","개인","2006","황송로 77","-","중개거래","경기 성남시 중원구","-"
