"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"103","경기도 성남시 중원구 성남동","4***","25m이상","84.70","전세","202604","18","35,000","0","2017","산성대로","202608~202808","신규","-","","","단독다가구"
"104","경기도 성남시 중원구 상대원동","1***","12m미만","30.00","월세","202604","18","500","45","1981","희망로316번길","202605~202804","신규","-","","","단독다가구"
"105","경기도 성남시 중원구 하대원동","1**","12m미만","40.00","월세","202604","18","500","45","1985","둔촌대로280번길","202604~202804","신규","-","","","단독다가구"
"106","경기도 성남시 중원구 중앙동","2***","8m미만","18.00","월세","202604","18","500","35","1974","광명로256번길","202604~202804","신규","-","","","단독다가구"
"107","경기도 성남시 중원구 성남동","3***","8m미만","39.60","월세","202604","18","4,000","60","1996","둔촌대로113번길","202605~202805","신규","-","","","단독다가구"
"108","경기도 성남시 중원구 상대원동","8**","8m미만","15.00","월세","202604","18","400","25","1983","박석로86번길","202604~202804","신규","-","","","단독다가구"
"109","경기도 성남시 중원구 여수동","2**","25m미만","100.78","월세","202604","17","3,000","127","2011","성남대로997번길","202606~202612","갱신","사용","3,000","120","단독다가구"
"110","경기도 성남시 중원구 금광동","3***","8m미만","32.03","월세","202604","17","500","40","1988","광명로323번길","202605~202804","신규","-","","","단독다가구"
"111","경기도 성남시 중원구 상대원동","2***","8m미만","30.00","월세","202604","17","500","33","1989","박석로85번길","202605~202805","신규","-","","","단독다가구"
"112","경기도 성남시 중원구 성남동","2***","8m미만","40.00","월세","202604","17","500","40","1988","원터로93번길","202604~202804","신규","-","","","단독다가구"
"113","경기도 성남시 중원구 성남동","4***","12m미만","58.00","전세","202604","17","27,300","0","2018","둔촌대로52번길","202605~202805","갱신","-","26,000","0","단독다가구"
"114","경기도 성남시 중원구 하대원동","1**","8m미만","30.87","전세","202604","16","12,000","0","1990","마지로163번길","202605~202805","신규","-","","","단독다가구"
"115","경기도 성남시 중원구 성남동","2***","8m미만","61.32","전세","202604","16","15,000","0","2001","광명로134번길","202606~202806","신규","-","","","단독다가구"
"116","경기도 성남시 중원구 중앙동","1***","8m미만","37.62","월세","202604","16","500","40","1988","광명로256번길","202606~202806","신규","-","","","단독다가구"
"117","경기도 성남시 중원구 여수동","4**","25m미만","42.90","월세","202604","16","5,000","75","2012","여수울로15번길","202605~202805","신규","-","","","단독다가구"
"118","경기도 성남시 중원구 중앙동","2***","12m미만","33.00","월세","202604","16","500","35","1993","광명로264번길","202605~202805","신규","-","","","단독다가구"
"119","경기도 성남시 중원구 금광동","3***","8m미만","40.00","월세","202604","16","1,000","55","1990","광명로335번길","202604~202804","신규","-","","","단독다가구"
"120","경기도 성남시 중원구 금광동","3***","12m미만","30.00","월세","202604","16","1,000","45","2013","금빛로61번길","202606~202806","신규","-","","","단독다가구"
"121","경기도 성남시 중원구 여수동","5**","25m미만","23.00","월세","202604","16","1,000","65","2016","여수울로29번길","202605~202805","신규","-","","","단독다가구"
"122","경기도 성남시 중원구 상대원동","1***","8m미만","45.65","전세","202604","15","13,000","0","1999","둔촌대로389번길","202605~202805","신규","-","","","단독다가구"
"123","경기도 성남시 중원구 상대원동","2***","8m미만","37.22","전세","202604","15","10,500","0","2006","박석로85번길","202605~202805","신규","-","","","단독다가구"
"124","경기도 성남시 중원구 금광동","4***","8m미만","39.60","월세","202604","15","1,000","45","1990","산성대로470번길","202606~202806","신규","-","","","단독다가구"
