"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"110","경기도 성남시 분당구 금곡동","147","0147","0000","현대아리온 오피스텔","35.4900","202604","04","24,000","7","개인","개인","2003","성남대로172번길 12","-","중개거래","경기 성남시 분당구"
"111","경기도 성남시 분당구 서현동","276-1","0276","0001","한라시그마파크","37.3110","202604","04","24,000","9","개인","개인","2003","황새울로 307","-","중개거래","경기 성남시 분당구"
"112","경기도 성남시 분당구 삼평동","659","0659","0000","판교 효성 해링턴 타워","27.1000","202604","03","26,000","12","개인","개인","2013","판교역로192번길 22","-","중개거래","경기 성남시 분당구"
"113","경기도 성남시 분당구 백현동","529","0529","0000","판교역 SK HUB","35.3800","202604","03","37,000","8","개인","개인","2014","판교역로 109","-","중개거래","경기 성남시 분당구"
"114","경기도 성남시 분당구 수내동","23-1","0023","0001","로얄팰리스 하우스빌","56.0400","202604","03","42,000","6","개인","개인","2004","백현로 105","-","직거래","-"
"115","경기도 성남시 분당구 정자동","24","0024","0000","분당인텔리지2","26.8000","202604","02","21,500","16","개인","개인","2004","정자일로 177","-","중개거래","경기 성남시 분당구"
"116","경기도 성남시 분당구 구미동","18","0018","0000","시그마2 오피스텔","88.7800","202604","02","29,500","3","개인","개인","1999","탄천상로 164","-","중개거래","경기 성남시 분당구"
"117","경기도 성남시 분당구 서현동","255-1","0255","0001","분당풍림아이원플러스오피스텔","60.0000","202604","02","47,000","12","개인","개인","2004","서현로 170","-","중개거래","경기 성남시 분당구"
"118","경기도 성남시 분당구 금곡동","161","0161","0000","천사의도시 오피스텔","31.7800","202604","02","16,000","8","개인","개인","2004","성남대로 165","-","중개거래","경기 성남시 분당구"
"119","경기도 성남시 분당구 수내동","4-3","0004","0003","두산위브센티움 2","36.8100","202604","01","20,000","4","개인","개인","2003","수내로 42","-","중개거래","경기 성남시 분당구"
"120","경기도 성남시 분당구 야탑동","219-2","0219","0002","야탑 브라운스톤 오피스텔","75.7000","202604","01","42,000","3","개인","개인","2005","야탑로205번길 40","-","중개거래","경기 성남시 분당구"
"121","경기도 성남시 분당구 정자동","7","0007","0000","분당두산위브파빌리온","57.7300","202604","01","63,500","33","개인","개인","2005","성남대로 393","-","중개거래","경기 성남시 분당구"
"122","경기도 성남시 분당구 수내동","21-2","0021","0002","현대판테온I오피스텔","93.6000","202604","01","108,000","11","개인","개인","2000","황새울로200번길 9-7","-","중개거래","경기 성남시 분당구"
